cache_size,stable_ratio,actfold_tflops,tflops_reduction_pct
256,0.9375,5.40672e-06,78.43137254901961
512,0.9375,5.40672e-06,78.43137254901961
1024,0.9375,5.40672e-06,78.43137254901961
2048,0.9375,5.40672e-06,78.43137254901961
